FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value,Cluster 3 Average,Cluster 3 Log2 Fold Change,Cluster 3 P-Value,Cluster 4 Average,Cluster 4 Log2 Fold Change,Cluster 4 P-Value,Cluster 5 Average,Cluster 5 Log2 Fold Change,Cluster 5 P-Value,Cluster 6 Average,Cluster 6 Log2 Fold Change,Cluster 6 P-Value,Cluster 7 Average,Cluster 7 Log2 Fold Change,Cluster 7 P-Value,Cluster 8 Average,Cluster 8 Log2 Fold Change,Cluster 8 P-Value,Cluster 9 Average,Cluster 9 Log2 Fold Change,Cluster 9 P-Value
ENSG00000071127,WDR1,1.639551459,0.317383069,0.28448083,1.288964309,-0.167314494,0.781115597,1.528213018,0.13579901,0.839996152,1.171986709,-0.275514787,1,1.259857998,-0.176275263,1,1.396945167,-0.013952162,1,1.150897756,-0.31381479,0.939871227,1.12125536,-0.342759017,1,1.468600179,0.059341655,1
ENSG00000163902,RPN1,1.443642961,0.317216441,0.286432975,1.162921674,-0.122007421,0.895934592,1.025646321,-0.311849577,0.561553117,1.193103587,-0.059327417,1,1.043319904,-0.271802305,1,1.25400194,0.015876588,1,1.276267882,0.043932143,1,1.294457407,0.062932127,1,1.316676023,0.086799298,1
ENSG00000157593,SLC35B2,1.122758354,0.318959471,0.287906997,0.791928257,-0.364359494,0.330662231,0.757513068,-0.393393693,0.409732596,1.018889346,0.082968707,1,0.894586669,-0.117429487,1,0.857659358,-0.177841017,1,1.318893725,0.496666584,0.433981106,0.633554858,-0.623516337,1,1.645845028,0.800859137,1
ENSG00000165629,ATP5F1C,2.182690879,0.315153547,0.288261557,2.02698754,0.148281889,0.798294343,1.13260658,-0.813688206,0.029877273,1.288129536,-0.561917987,1,1.826356646,-0.044573019,1,1.913490008,0.027420063,1,1.855477864,-0.019594643,1,2.196931233,0.234552303,1,1.424288967,-0.411760467,1
ENSG00000115053,NCL,3.004155475,0.312590837,0.28918941,2.553354269,-0.025039768,1,2.032244924,-0.395209001,0.351711748,1.958590401,-0.418008179,1,2.215687764,-0.244764928,1,2.524247429,-0.039981826,1,3.071568086,0.26860169,0.848719907,2.301764051,-0.17882074,1,2.449777023,-0.085952897,1
ENSG00000112514,CUTA,3.943165169,0.311254103,0.289800609,2.776901584,-0.374136429,0.295425137,2.873274907,-0.276250493,0.578483287,3.727128904,0.133822662,1,2.889361832,-0.256173143,1,3.606067756,0.088655018,1,4.267599087,0.357963506,0.694863642,2.347343537,-0.556458471,1,5.418628246,0.693861525,1
ENSG00000168264,IRF2BP2,2.077981165,0.314181378,0.290333352,1.632212493,-0.17176934,0.775914586,1.409531086,-0.389300597,0.366697375,1.182545148,-0.615860536,1,1.649189115,-0.128395749,1,1.744557104,-0.039420926,1,2.580117192,0.581783768,0.366542657,1.485891249,-0.279676368,1,1.576213123,-0.190321794,1
ENSG00000006282,SPATA20,1.002511069,0.318923642,0.291889794,0.726925136,-0.314276302,0.448757894,0.624179047,-0.521653716,0.233676874,0.834116667,-0.0455671,1,0.634303506,-0.475099968,0.812075996,0.951871939,0.155111997,1,1.416682423,0.79807299,0.104051293,0.569743577,-0.611889294,1,1.133101,0.410018566,1
ENSG00000165949,IFI27,47.91719181,0.308153928,0.293607076,41.68047628,0.01507472,1,32.30199826,-0.404875667,0.330481043,48.15703947,0.222268471,1,42.67331517,0.047669495,1,28.53341721,-0.567106609,1,20.68607078,-1.061120054,0.082221873,36.28127098,-0.202124177,1,88.02738831,1.134260349,1
ENSG00000119318,RAD23B,1.292996082,0.312638056,0.299942203,1.115358415,0.003423964,1,0.673996154,-0.807339358,0.032816805,0.744369937,-0.596261319,1,1.288292293,0.232159188,0.9814545,1.163038069,0.066509397,1,1.128331133,0.02058215,1,1.262551767,0.188770149,1,0.905214765,-0.306048546,1
ENSG00000127022,CANX,4.583583291,0.306354978,0.300809423,4.111843711,0.072898917,0.978396418,2.591954773,-0.685678793,0.061332901,3.040830381,-0.39773348,1,4.096725746,0.052632704,1,4.385758082,0.154753164,1,3.578063394,-0.159381468,1,4.143175292,0.064360999,1,3.323340922,-0.265428936,1
ENSG00000204219,TCEA3,0.81470913,0.317119317,0.301696008,0.712656159,0.03431466,1,0.28718097,-1.404835608,8.72E-05,0.353707701,-0.998347883,1,0.669299561,-0.069678258,1,0.750451938,0.108196398,1,1.058123863,0.658728472,0.232434151,0.815872802,0.232746469,1,0.652007838,-0.101117513,1
ENSG00000101367,MAPRE1,1.059256979,0.314813232,0.302816246,0.871993075,-0.083237851,0.985200106,0.638831137,-0.575465493,0.172367478,0.617668671,-0.573858772,1,0.828969065,-0.148401125,1,1.042835811,0.207786248,1,1.186001391,0.416658156,0.573576281,0.92070562,0.016216381,1,0.639347492,-0.519587124,1
